Id,SalePrice
1461,122430.18
1462,161523.11
1463,189742.06
1464,193451.03
1465,190246.52
1466,170779.73
1467,174020.08
1468,163842.69
1469,188531.03
1470,124028.22
1471,200441.64
1472,92891.62
1473,94832.31
1474,156016.53
1475,121356.64
1476,385864.47
1477,252639.8
1478,291468.66
1479,286379.0
1480,506447.8
1481,332047.88
1482,205885.19
1483,172489.56
1484,163447.84
1485,185375.5
1486,196331.11
1487,331163.34
1488,234513.45
1489,196688.88
1490,219001.16
1491,195304.94
1492,91439.67
1493,177806.72
1494,294980.9
1495,299397.12
1496,232312.17
1497,181492.38
1498,157310.53
1499,158126.52
1500,144855.81
1501,164338.6
1502,138859.58
1503,310818.88
1504,234160.58
1505,219971.77
1506,188944.66
1507,261099.1
1508,199867.84
1509,164342.83
1510,140006.61
1511,144030.27
1512,171621.88
1513,150505.64
1514,169251.1
1515,188217.38
1516,153830.05
1517,158983.88
1518,139811.27
1519,222204.83
1520,129839.14
1521,132362.77
1522,162597.56
1523,112525.63
1524,123800.73
1525,121091.55
1526,118464.81
1527,106164.74
1528,130506.414
1529,153529.89
1530,174354.64
1531,103182.46
1532,101490.17
1533,143913.42
1534,123155.18
1535,154124.33
1536,102125.35
1537,72309.42
1538,162309.4
1539,186271.67
1540,97867.47
1541,137498.44
1542,150129.47
1543,219333.48
1544,73136.41
1545,111917.52
1546,128894.09
1547,127491.48
1548,141170.38
1549,96579.05
1550,135709.64
1551,114929.125
1552,134960.16
1553,150520.42
1554,110506.3
1555,160241.06
1556,79209.97
1557,115426.05
1558,93746.16
1559,60413.68
1560,136955.72
1561,124279.7
1562,130591.695
1563,122236.4
1564,166825.52
1565,141640.48
1566,229227.14
1567,73024.47
1568,229196.97
1569,137627.53
1570,136119.48
1571,112002.305
1572,151037.08
1573,262035.78
1574,120686.54
1575,216701.28
1576,227339.19
1577,190089.45
1578,136781.6
1579,145190.66
1580,199198.6
1581,147908.66
1582,129845.58
1583,326123.03
1584,227289.31
1585,142246.4
1586,74431.54
1587,99452.2
1588,145771.16
1589,103544.03
1590,141528.83
1591,98863.81
1592,122441.74
1593,132724.03
1594,132824.69
1595,115026.164
1596,238517.05
1597,191981.62
1598,207795.62
1599,166252.31
1600,169328.1
1601,70853.89
1602,121418.92
1603,64435.516
1604,248097.3
1605,250195.34
1606,172812.45
1607,177809.95
1608,212395.8
1609,189505.34
1610,151043.27
